name,NetMF_1,NetMF_2,NetMF_3,NetMF_4,NetMF_5,NetMF_6,NetMF_7,NetMF_8,NetMF_9,NetMF_10,NetMF_11,NetMF_12,NetMF_13,NetMF_14,NetMF_15,NetMF_16,NetMF_17,NetMF_18,NetMF_19,NetMF_20,NetMF_21,NetMF_22,NetMF_23,NetMF_24,NetMF_25,NetMF_26,NetMF_27,NetMF_28,NetMF_29,NetMF_30,NetMF_31,NetMF_32
ENSG00000275342,323.51395,-40.522217,85.78107,-101.481,-31.870169,-34.899014,28.439337,-30.35193,-42.774178,70.533455,-57.6465,87.63454,83.778046,-77.06518,12.638813,47.609898,-19.26873,-0.077183835,-23.701275,-44.193027,0.41519848,39.551735,5.0884676,-44.816547,-24.227411,-26.538916,3.3585336,6.5157433,8.725258,-12.590713,-16.871225,16.033941
ENSG00000108443,642.8237,63.344173,9.890032,101.01002,25.115711,3.4611988,12.092004,-52.78266,-11.416438,29.084534,-23.298666,4.832081,20.496767,-28.521654,10.565817,22.037874,-11.658932,-2.6167693,15.788145,0.22156844,-4.6664596,10.060519,-46.8584,14.138957,11.717021,-7.933787,7.777993,1.7006179,-0.5082654,-15.229927,-7.2840676,-22.315905
ENSG00000108946,694.404,-70.09487,32.667553,107.92906,47.555916,-16.153921,75.9978,5.571643,-26.603529,-16.617313,-2.4227772,-11.717745,-9.790953,-27.929085,1.4541438,1.2467676,12.198032,17.401001,-33.32924,-0.09368869,-3.497643,-29.405804,11.521642,39.074585,9.74578,7.489316,2.3278055,-5.003341,0.026382633,-13.396167,-10.015098,-13.176499
ENSG00000109339,641.58386,54.74966,27.366732,120.04147,-21.310328,-38.86051,-12.193452,-32.293274,-13.714303,14.075708,-12.03377,12.710308,10.391515,-3.8285434,17.208616,27.404621,-7.601003,-16.73264,-12.046746,16.034002,21.626326,0.8591041,-41.361954,19.557926,-19.909533,10.815613,6.6666765,-10.135789,-13.838269,16.561663,10.145173,-6.0736384
ENSG00000110422,524.19006,-54.972507,56.115734,41.211113,0.043643296,-38.406765,6.1808753,-35.06821,35.18892,-13.526915,-6.461763,-14.0765085,0.84348136,-17.113234,-25.716814,37.44293,4.563722,-5.5716705,-13.882213,-6.524147,6.2746043,32.491158,1.7810556,9.573133,-6.7721696,9.053397,15.501957,-3.4717474,-11.253909,-20.441446,12.37477,-27.498148
ENSG00000110931,536.5559,119.90376,50.92234,57.005795,-5.413388,-8.378225,27.499222,-39.927387,15.645527,32.179996,-36.160427,32.62782,31.572298,-36.83109,2.3195918,21.357088,-3.9688685,-5.7759514,-21.366707,-9.091641,-2.7560055,23.496012,-45.801525,2.2931616,-12.319298,-16.851814,8.475616,-13.558542,13.869645,-21.530657,7.205274,-14.129785
ENSG00000111837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112062,689.5769,31.00686,18.088852,135.08102,-19.2067,-20.41312,-19.688156,-7.0108867,-7.1520114,35.350513,-27.343359,10.9530735,32.865677,55.4688,1.2349266,10.997495,-0.59368354,47.76473,-6.399141,-13.78909,-15.206649,18.658228,-37.9812,0.9667099,3.9682512,22.31346,13.880797,-13.455992,2.5779595,-6.717145,10.238428,-1.8342611
ENSG00000112079,617.43097,-70.40876,25.552223,79.7836,-23.791124,1.791281,-12.3613405,-54.12034,-5.559333,24.793612,-31.889719,-12.632979,42.85817,-3.6438873,27.591925,21.477211,-3.9291246,-32.49273,7.9967275,32.227688,16.250465,2.9106796,13.486667,-7.3653994,-18.702581,0.09075895,-8.419797,5.804451,-0.14825028,-2.1898513,-9.119785,-2.2174807
ENSG00000112144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112739,629.1341,-79.99941,-38.899178,69.96487,-40.6667,-17.114851,-28.639576,-61.577515,-32.58304,14.103463,-18.76223,-31.159286,44.237442,-15.962143,43.55714,24.653168,-9.065344,-36.437454,2.3621526,21.62612,9.653885,33.523018,29.60964,-3.9441793,-8.725287,28.38492,5.5173006,-4.728014,-20.538994,31.182053,-2.6858675,-1.1341981
ENSG00000113712,731.8522,19.538094,4.430039,168.85992,24.9431,-10.066309,56.674026,-1.3119321,-6.2973394,29.66187,-11.227397,7.457331,3.9766142,7.94535,21.272993,-1.4506198,-14.173375,-5.621124,-5.7835736,11.469076,1.2151139,4.749842,-27.611223,21.465633,6.5436378,35.222874,-21.678228,-14.78349,-23.994532,-5.844982,-19.112259,-0.52071244
ENSG00000114302,533.98444,-59.81654,49.87534,43.51644,54.545933,24.931282,12.232304,-70.066,-26.609898,15.367086,18.802656,-36.14953,-1.7186043,-29.02049,6.395588,1.5671467,-8.988758,21.147898,-9.493572,6.6054516,14.899142,-7.024306,5.8304906,24.03208,5.5491786,-5.7636023,18.853159,-2.8258657,-0.34427905,-9.397649,22.238918,-17.054283
ENSG00000114670,477.31174,198.87683,15.832744,-24.962805,-34.066208,-48.161182,36.83923,-53.986816,-21.074593,56.50815,-32.291527,66.022736,31.75079,-44.09526,17.777744,24.1647,-7.3310485,2.6755524,-13.96466,7.0057697,1.773334,22.657843,-26.342627,0.72081745,-8.047606,-27.004349,12.758972,7.2509627,16.518744,-12.450588,-4.0452304,-2.2815413
ENSG00000114738,561.01056,132.98337,27.559525,40.234173,-19.390379,-37.96427,18.295908,-36.540543,-1.2510879,7.003961,0.7780656,6.0376196,-24.513975,-12.13874,-15.077667,13.405479,-11.223313,17.589264,-5.8904433,-14.835543,19.222502,-13.60741,-44.772804,-5.8741574,-0.43232012,-10.644453,18.42685,-8.53651,-21.570032,-35.499954,-15.461101,6.7812476
ENSG00000114739,434.76117,-38.51936,129.84306,-2.4756258,-15.213311,-40.797684,11.414067,-19.192904,-10.726499,30.361214,-36.22536,61.284412,34.877735,-19.3105,37.522488,23.020329,-17.01735,-1.8459201,-15.344638,11.862485,2.0142205,16.800392,-10.232525,-5.217102,-33.571087,-11.137246,-5.1369185,0.74959964,-26.707464,19.426779,-0.92397183,5.1524196
ENSG00000114904,359.05215,-34.91173,48.724197,-24.087479,-12.245877,-17.065767,22.277723,-41.909554,10.622563,-15.620843,-3.1350982,-4.139022,15.539011,-30.651634,34.45782,-25.021757,-31.293709,21.932417,-22.54012,-10.921256,-9.024651,4.2631674,8.200665,2.5786111,3.9357524,9.260188,14.976978,-0.4356323,10.411352,-23.241001,-3.3972003,-31.491276
ENSG00000115170,597.9951,93.8164,82.307884,73.22703,-19.061026,-40.122692,75.27521,74.368454,-10.63615,-12.330372,5.053867,-10.265348,-7.486745,-6.499388,-1.348853,4.248464,-0.44994715,3.7152681,12.198715,5.5938478,-23.896585,6.330784,-55.75094,9.20119,7.772715,11.130529,-9.491445,4.045255,-27.812122,-36.028168,-21.128336,-14.750667
