,source,target
1068759,UQCRFS1,NDUFA6
1068760,POLR2E,WDR48
1068761,SART1,SUPT4H1
1068762,POLR1B,IMP3
1068763,NDUFAB1,NDUFB7
1068764,POLR2A,COPS5
1068765,G6PD,SMG6
1068766,BUD23,RPS2
1068767,PEPD,TPI1
1068768,RPF2,NOP10
1068769,RRM1,OVCA2
1068770,RAN,CPSF2
1068771,PSMB2,ACAD8
1068772,NDC80,DYNC1H1
1068773,MTREX,PPWD1
1068774,NDUFS1,MRPL12
1068775,NDUFB10,POLR2I
1068776,SNRPE,STOML2
1068777,IMP4,FBXL4
1068778,NDUFS8,DLAT
1068779,XPO1,DCTN2
1068780,ADAR,PNKP
1068781,COX5A,DRG2
1068782,PRCP,NPEPL1
1068783,RPL35A,FAU
1068784,PHGDH,QDPR
1068785,NAA20,SBDS
1068786,CRAT,TP53BP1
1068787,NDUFA2,STOML2
1068788,NACA,PSMD14
1068789,PSMD14,NACA
1068790,DYNC1H1,DYNC2H1
1068791,NDC80,BUB3
1068792,RPL13A,DDX23
1068793,VPS53,RAB6B
1068794,NDUFS8,MRPL12
1068795,NDUFS8,UQCRB
1068796,ATP5PD,RPL24
1068797,HSPA2,SF3B2
1068798,DDX17,DDX23
1068799,PSMD14,NDUFA9
1068800,CDC45,WDR70
1068801,NDUFB4,COX5A
1068802,RPS9,RSL24D1
1068803,ARMC9,IMP3
1068804,SMU1,ELP4
1068805,ADCK2,REPIN1
1068806,NDC80,DCTN2
1068807,EBNA1BP2,GAR1
1068808,STOML2,MRPS2
1068809,HPGDS,ADK
1068810,GMPS,PITPNA
1068811,POLD1,CDC42
1068812,GLRX,NEDD8
1068813,GCN1,TRMT6
1068814,HGS,VPS25
1068815,PRMT8,NHP2
1068816,RPS3A,RSL24D1
1068817,SNF8,VPS18
1068818,PHGDH,TPI1
1068819,PMPCA,KRR1
1068820,UMPS,GCDH
1068821,DDX23,RBM19
1068822,WDHD1,LIG1
1068823,NDUFB4,ATP5MF
1068824,NDUFB4,NDUFB7
1068825,HSPD1,PHF5A
1068826,EIF1B,RPS2
1068827,STT3B,TMED9
1068828,RPL6,DICER1
1068829,ZNF622,SNF8
1068830,SEC24D,RBKS
1068831,RPL15,RSL24D1
1068832,PDHB,UPB1
1068833,NDC80,PINX1
1068834,BOLA3,INTS7
1068835,POLD2,NUBP1
1068836,SARS1,IDH3A
1068837,CDK1,GINS3
1068838,NDUFS6,GPD2
1068839,MPC2,NDUFA12
1068840,POLR2G,PRMT8
1068841,NDUFS8,UQCRFS1
1068842,EBNA1BP2,NHP2
1068843,PRDX3,PSMD7
1068844,BTAF1,RECQL
1068845,DCTN2,PNN
1068846,NDUFAB1,NDUFA5
1068847,RPL18,RSL24D1
1068848,NIT1,RBKS
1068849,TTC27,D2HGDH
1068850,ZW10,SEC13
1068851,MRE11,NTHL1
1068852,PHGDH,TALDO1
1068853,NACA,PSMD7
1068854,PSMD7,NACA
1068855,DKC1,NIP7
1068856,MPC2,COX5A
1068857,PUM3,POLR1B
1068858,GTF2E2,MLEC
1068859,RPL27A,RPS21
1068860,NDUFA9,ACO2
1068861,TPT1,RPL31
1068862,SF3B2,CHERP
1068863,DIS3L2,ISYNA1
1068864,BTAF1,MAPK15
1068865,PGD,AK2
1068866,PSMD4,NDUFA13
1068867,LSM8,SSB
1068868,FH,ECHDC1
1068869,NDUFB4,ATP5ME
1068870,EEF2,HSPA2
1068871,DDX11,LARS1
1068872,CHERP,PUF60
1068873,DCXR,ECHDC1
1068874,TMED10,STT3B
1068875,ESD,AGXT
1068876,NUDT21,NLE1
1068877,ALDH6A1,DCXR
1068878,TPT1,RPL35A
1068879,NDUFS8,GPD2
1068880,SP5,PPP1R13L
1068881,RPS11,UBA52
1068882,PHGDH,FH
1068883,HAAO,EBNA1BP2
1068884,GINS1,NOC3L
1068885,PEPD,ACO2
1068886,RPS17,HADHB
1068887,WDR36,GAR1
1068888,BOP1,GAR1
1068889,PFAS,SUPT6H
1068890,PAICS,NIT1
1068891,GPATCH11,MAD1L1
1068892,PHGDH,GLRX
1068893,PTPRO,POLR3B
1068894,PSMD14,CS
1068895,TPT1,ATP6V1A
1068896,APRT,QDPR
1068897,RPL9,PSMD7
1068898,RPS2,RSL24D1
1068899,DLAT,PSMD7
1068900,PSMD4,EIF3B
1068901,SUOX,DCPS
1068902,SNRPC,XPNPEP3
1068903,DDX39A,PBDC1
1068904,GINS3,PTGES2
1068905,CZIB,RBM8A
1068906,NDUFS1,ATP5MF
1068907,ATP5F1D,DLST
1068908,TXNL1,ISYNA1
1068909,EEF2,FAU
1068910,EEF2,FAU
1068911,UFL1,CLPTM1L
1068912,RPL13A,MRPL17
1068913,RPS14,UPF1
1068914,GAR1,NOP58
1068915,BOP1,DDX47
1068916,RPL5,MRPS16
1068917,ILF2,DYNC1H1
1068918,FA2H,XRN1
1068919,RAE1,LEO1
1068920,PAFAH1B1,CDT1
1068921,TPT1,PSMD1
1068922,NDUFS4,COX5A
1068923,HAT1,ELP2
1068924,ATP5PD,RPLP2
1068925,AARS1,MRPL17
1068926,POLR2F,NDUFA13
1068927,HPGDS,ALDH7A1
1068928,TOMM22,MRPS2
1068929,SEC24D,SELENBP1
1068930,EIF3F,MRPL40
1068931,APRT,ADSL
1068932,SNRPE,PUF60
1068933,GSTZ1,PGM3
1068934,TPP2,ISYNA1
1068935,RPSA,PRDX3
1068936,MOCS3,RPS7
1068937,DHX15,HSPD1
1068938,RPS2,EMG1
1068939,ETFB,UFC1
1068940,NUP98,PINX1
1068941,ZW10,PAFAH1B1
1068942,FAU,RPL30
1068943,G6PD,LIG1
1068944,NDUFB10,TMED10
1068945,BAG1,NUDC
1068946,KRI1,NOL10
1068947,POR,POLR2G
1068948,NDC80,ZNF207
1068949,POLR2A,INTS7
1068950,HSPD1,TPT1
1068951,NDUFS1,HAL
1068952,BTF3,RPS11
1068953,NDUFA2,COX5A
1068954,ACOX3,RMDN1
1068955,LIG1,CMPK2
1068956,CRAT,PRMT8
1068957,HSPD1,CHERP
1068958,U2SURP,HSPD1
1068959,CDC45,GINS3
1068960,PCGF3,CHTF18
1068961,EEF1AKNMT,SAE1
1068962,SPATA20,LGMN
1068963,ALDH7A1,ACO2
1068964,RPS16,RSL24D1
1068965,ZRANB2,BCCIP
1068966,HMGB3,GRB2
1068967,RPS2,WDR36
1068968,MOCS3,EEF2
1068969,RPL27A,UPF1
1068970,PMPCB,BTF3
